Ligand	Receptor	Source
EFNA3	EPHA7	Ramilowski et al. 2015
EFNA3	EPHA8	Ramilowski et al. 2015
EFNA3	EPHB1	Ramilowski et al. 2015
EFNA4	EPHA2	Ramilowski et al. 2015
EFNA4	EPHA3	Ramilowski et al. 2015
EFNA4	EPHA4	Ramilowski et al. 2015
EFNA4	EPHA5	Ramilowski et al. 2015
EFNA4	EPHA6	Ramilowski et al. 2015
EFNA4	EPHA7	Ramilowski et al. 2015
EFNA4	EPHA8	Ramilowski et al. 2015
EFNA5	EPHA2	Ramilowski et al. 2015
EFNA5	EPHA3	Ramilowski et al. 2015
EFNA5	EPHA4	Ramilowski et al. 2015
EFNA5	EPHA5	Ramilowski et al. 2015
EFNA5	EPHA6	Ramilowski et al. 2015
EFNA5	EPHA7	Ramilowski et al. 2015
EFNA5	EPHA8	Ramilowski et al. 2015
EFNA5	EPHB2	Ramilowski et al. 2015
EFNB1	EPHB1	Ramilowski et al. 2015
EFNB1	EPHB2	Ramilowski et al. 2015
EFNB1	EPHB3	Ramilowski et al. 2015
EFNB1	EPHB4	Ramilowski et al. 2015
EFNB1	EPHB6	Ramilowski et al. 2015
EFNB2	EPHA4	Ramilowski et al. 2015
EFNB2	EPHB1	Ramilowski et al. 2015
EFNB2	EPHB2	Ramilowski et al. 2015
EFNB2	EPHB3	Ramilowski et al. 2015
EFNB2	EPHB4	Ramilowski et al. 2015
EFNB2	EPHB6	Ramilowski et al. 2015
EFNB3	EPHA4	Ramilowski et al. 2015
EFNB3	EPHB2	Ramilowski et al. 2015
EFNB3	EPHB3	Ramilowski et al. 2015
EFNB3	EPHB4	Ramilowski et al. 2015
EGF	EGFR	Ramilowski et al. 2015
EPGN	EGFR	Ramilowski et al. 2015
EPO	EPOR	Ramilowski et al. 2015
EREG	EGFR	Ramilowski et al. 2015
